iter	Passed	Remaining
0	195	194994
1	207	103328
2	216	72008
3	227	56732
4	235	46905
5	243	40284
6	251	35698
7	259	32217
8	266	29398
9	272	26976
10	286	25757
11	297	24468
12	313	23764
13	328	23126
14	343	22541
15	354	21810
16	361	20923
17	369	20131
18	376	19422
19	383	18768
20	392	18300
21	400	17826
22	408	17368
23	417	16970
24	424	16547
25	434	16285
26	441	15913
27	450	15637
28	457	15309
29	465	15044
30	474	14830
31	481	14569
32	488	14321
33	496	14114
34	506	13951
35	513	13751
36	520	13554
37	525	13309
38	533	13138
39	581	13963
40	590	13814
41	597	13620
42	606	13505
43	615	13364
44	626	13286
45	636	13207
46	650	13192
47	656	13018
48	663	12868
49	669	12724
50	675	12570
51	684	12482
52	692	12365
53	697	12227
54	704	12104
55	710	11981
56	716	11858
57	723	11758
58	730	11646
59	737	11548
60	745	11471
61	754	11410
62	763	11354
63	775	11346
64	784	11288
65	792	11215
66	801	11165
67	809	11091
68	816	11022
69	823	10937
70	830	10860
71	840	10837
72	848	10769
73	855	10704
74	862	10640
75	868	10564
76	875	10491
77	881	10419
78	891	10398
79	898	10332
80	905	10269
81	911	10208
82	918	10142
83	925	10090
84	930	10021
85	937	9963
86	943	9898
87	951	9865
88	964	9872
89	975	9858
90	985	9840
91	991	9790
92	1001	9766
93	1008	9716
94	1015	9670
95	1021	9617
96	1028	9571
97	1036	9540
98	1044	9506
99	1049	9445
100	1054	9385
101	1065	9378
102	1069	9317
103	1076	9276
104	1081	9221
105	1086	9165
106	1097	9158
107	1107	9144
108	1117	9135
109	1128	9134
110	1134	9089
111	1140	9042
112	1146	9000
113	1152	8958
114	1158	8914
115	1164	8873
116	1171	8840
117	1177	8801
118	1183	8759
119	1189	8720
120	1195	8683
121	1200	8643
122	1206	8602
123	1213	8575
124	1220	8543
125	1227	8514
126	1235	8492
127	1246	8492
128	1257	8491
129	1264	8464
130	1272	8441
131	1279	8411
132	1285	8380
133	1292	8350
134	1298	8317
135	1304	8287
136	1311	8264
137	1318	8238
138	1325	8209
139	1329	8169
140	1335	8134
141	1341	8106
142	1347	8078
143	1355	8055
144	1361	8027
145	1366	7995
146	1373	7970
147	1379	7939
148	1385	7913
149	1391	7886
150	1396	7851
151	1401	7817
152	1407	7789
153	1412	7758
154	1420	7741
155	1424	7709
156	1431	7686
157	1439	7668
158	1449	7668
159	1458	7658
160	1467	7648
161	1476	7638
162	1484	7623
163	1494	7620
164	1504	7613
165	1513	7602
166	1518	7575
167	1526	7560
168	1532	7537
169	1539	7514
170	1544	7485
171	1549	7460
172	1562	7468
173	1568	7445
174	1573	7419
175	1581	7405
176	1588	7385
177	1597	7378
178	1605	7365
179	1615	7360
180	1624	7351
181	1631	7334
182	1640	7325
183	1648	7311
184	1655	7291
185	1661	7270
186	1666	7245
187	1674	7231
188	1684	7228
189	1690	7207
190	1696	7185
191	1701	7162
192	1707	7138
193	1715	7125
194	1720	7102
195	1726	7081
196	1732	7062
197	1741	7054
198	1749	7041
199	1756	7025
200	1764	7012
201	1773	7007
202	1784	7004
203	1794	7002
204	1802	6991
205	1811	6980
206	1817	6960
207	1821	6937
208	1827	6917
209	1834	6900
210	1839	6877
211	1845	6858
212	1849	6835
213	1855	6814
214	1861	6798
215	1866	6776
216	1872	6755
217	1880	6745
218	1887	6731
219	1893	6714
220	1898	6693
221	1904	6673
222	1911	6661
223	1917	6642
224	1922	6622
225	1929	6607
226	1934	6588
227	1942	6577
228	1949	6562
229	1954	6542
230	1966	6547
231	1974	6535
232	1982	6526
233	1989	6511
234	1997	6503
235	2006	6495
236	2012	6480
237	2022	6474
238	2028	6460
239	2039	6457
240	2050	6456
241	2058	6446
242	2068	6442
243	2077	6436
244	2087	6432
245	2098	6433
246	2105	6419
247	2111	6404
248	2119	6391
249	2125	6377
250	2132	6363
251	2139	6350
252	2147	6340
253	2153	6324
254	2160	6313
255	2169	6304
256	2178	6298
257	2185	6286
258	2192	6272
259	2200	6261
260	2209	6255
261	2216	6242
262	2222	6229
263	2229	6214
264	2234	6197
265	2240	6182
266	2245	6164
267	2250	6146
268	2255	6130
269	2261	6114
270	2266	6097
271	2272	6083
272	2278	6066
273	2283	6049
274	2289	6035
275	2294	6018
276	2299	6001
277	2305	5987
278	2316	5985
279	2322	5973
280	2328	5958
281	2333	5942
282	2339	5928
283	2344	5911
284	2350	5896
285	2356	5882
286	2361	5865
287	2366	5850
288	2373	5838
289	2378	5822
290	2383	5808
291	2390	5795
292	2395	5779
293	2400	5763
294	2405	5749
295	2410	5733
296	2416	5719
297	2422	5707
298	2428	5692
299	2433	5677
300	2439	5665
301	2448	5658
302	2455	5648
303	2464	5642
304	2472	5633
305	2479	5622
306	2488	5616
307	2495	5606
308	2502	5595
309	2510	5588
310	2520	5583
311	2527	5572
312	2531	5557
313	2539	5548
314	2544	5533
315	2549	5518
316	2556	5507
317	2563	5497
318	2569	5486
319	2576	5474
320	2582	5462
321	2588	5449
322	2593	5436
323	2601	5428
324	2607	5416
325	2613	5404
326	2620	5393
327	2625	5379
328	2630	5365
329	2637	5354
330	2642	5339
331	2647	5327
332	2653	5314
333	2658	5301
334	2665	5292
335	2672	5281
336	2677	5267
337	2684	5257
338	2689	5243
339	2694	5230
340	2703	5225
341	2712	5218
342	2719	5209
343	2729	5204
344	2737	5197
345	2746	5191
346	2755	5185
347	2762	5175
348	2768	5165
349	2774	5152
350	2779	5139
351	2786	5129
352	2793	5119
353	2799	5108
354	2805	5097
355	2815	5093
356	2822	5082
357	2828	5071
358	2834	5061
359	2841	5051
360	2849	5044
361	2860	5041
362	2867	5032
363	2874	5021
364	2880	5011
365	2887	5002
366	2895	4994
367	2903	4986
368	2910	4976
369	2917	4967
370	2923	4956
371	2928	4944
372	2938	4939
373	2944	4928
374	2951	4918
375	2956	4906
376	2961	4894
377	2968	4884
378	2973	4872
379	2978	4859
380	2984	4848
381	2991	4839
382	2997	4828
383	3002	4816
384	3007	4804
385	3013	4793
386	3018	4781
387	3024	4769
388	3030	4759
389	3035	4748
390	3041	4737
391	3047	4726
392	3052	4715
393	3057	4703
394	3063	4692
395	3068	4680
396	3073	4668
397	3079	4657
398	3084	4646
399	3089	4633
400	3094	4621
401	3099	4610
402	3104	4598
403	3109	4587
404	3116	4578
405	3121	4567
406	3126	4555
407	3133	4546
408	3138	4535
409	3142	4522
410	3149	4512
411	3154	4502
412	3159	4490
413	3166	4481
414	3171	4470
415	3176	4459
416	3184	4452
417	3191	4443
418	3199	4436
419	3208	4431
420	3215	4421
421	3220	4410
422	3228	4403
423	3234	4393
424	3239	4383
425	3248	4376
426	3259	4373
427	3267	4367
428	3274	4358
429	3282	4351
430	3288	4341
431	3296	4333
432	3302	4325
433	3310	4317
434	3316	4307
435	3320	4295
436	3327	4286
437	3336	4281
438	3344	4274
439	3351	4266
440	3358	4257
441	3366	4250
442	3373	4241
443	3379	4232
444	3386	4223
445	3392	4213
446	3398	4204
447	3405	4196
448	3413	4188
449	3418	4177
450	3423	4167
451	3429	4158
452	3436	4149
453	3442	4140
454	3449	4131
455	3454	4120
456	3461	4112
457	3466	4101
458	3471	4091
459	3478	4084
460	3485	4074
461	3491	4066
462	3498	4057
463	3503	4047
464	3511	4040
465	3520	4034
466	3528	4026
467	3536	4020
468	3543	4012
469	3552	4005
470	3560	3999
471	3571	3995
472	3578	3987
473	3584	3978
474	3592	3970
475	3598	3961
476	3608	3956
477	3617	3950
478	3625	3943
479	3633	3936
480	3640	3928
481	3647	3920
482	3654	3911
483	3664	3906
484	3672	3899
485	3679	3891
486	3684	3880
487	3690	3872
488	3699	3865
489	3706	3857
490	3713	3849
491	3720	3841
492	3726	3832
493	3732	3822
494	3738	3814
495	3745	3805
496	3750	3795
497	3755	3785
498	3761	3776
499	3766	3766
500	3772	3757
501	3778	3748
502	3784	3738
503	3789	3729
504	3795	3720
505	3801	3710
506	3806	3701
507	3812	3692
508	3818	3683
509	3825	3675
510	3831	3666
511	3837	3657
512	3845	3650
513	3851	3641
514	3858	3633
515	3863	3623
516	3868	3614
517	3876	3606
518	3881	3597
519	3886	3587
520	3892	3579
521	3897	3569
522	3903	3559
523	3911	3553
524	3916	3543
525	3923	3535
526	3929	3526
527	3935	3517
528	3944	3511
529	3949	3502
530	3955	3493
531	3960	3484
532	3965	3474
533	3971	3465
534	3976	3456
535	3982	3447
536	3988	3438
537	3993	3429
538	4004	3425
539	4012	3417
540	4017	3408
541	4024	3400
542	4030	3392
543	4038	3385
544	4043	3375
545	4049	3367
546	4055	3358
547	4061	3350
548	4067	3341
549	4074	3333
550	4080	3325
551	4087	3317
552	4093	3308
553	4099	3300
554	4106	3292
555	4116	3286
556	4125	3280
557	4134	3274
558	4140	3266
559	4145	3257
560	4150	3248
561	4158	3241
562	4168	3235
563	4177	3229
564	4186	3223
565	4193	3215
566	4198	3206
567	4205	3198
568	4211	3189
569	4216	3180
570	4223	3172
571	4228	3163
572	4233	3154
573	4239	3146
574	4244	3137
575	4250	3128
576	4257	3120
577	4262	3112
