iter	Passed	Remaining
0	100	100588
1	105	52869
2	112	37369
3	117	29297
4	123	24593
5	129	21423
6	134	19079
7	139	17324
8	145	16000
9	150	14868
10	154	13927
11	164	13513
12	180	13679
13	204	14406
14	220	14497
15	227	14010
16	234	13574
17	240	13129
18	245	12694
19	251	12300
20	256	11972
21	262	11651
22	267	11348
23	272	11077
24	277	10836
25	282	10584
26	289	10425
27	294	10211
28	299	10038
29	304	9859
30	310	9693
31	315	9534
32	320	9386
33	334	9503
34	345	9538
35	352	9433
36	358	9328
37	366	9284
38	372	9169
39	377	9060
40	382	8957
41	388	8851
42	393	8752
43	398	8662
44	404	8585
45	411	8529
46	416	8441
47	421	8364
48	427	8297
49	432	8226
50	441	8208
51	447	8161
52	454	8118
53	460	8066
54	465	7991
55	470	7938
56	480	7947
57	485	7892
58	493	7863
59	499	7818
60	507	7809
61	514	7788
62	519	7731
63	524	7677
64	530	7636
65	536	7587
66	541	7544
67	547	7499
68	553	7464
69	559	7432
70	563	7376
71	568	7331
72	575	7302
73	580	7266
74	585	7224
75	591	7187
76	597	7157
77	603	7131
78	609	7100
79	614	7061
80	619	7028
81	624	6994
82	629	6954
83	634	6922
84	639	6884
85	645	6863
86	651	6841
87	656	6804
88	661	6770
89	667	6751
90	672	6721
91	678	6696
92	684	6672
93	689	6645
94	695	6621
95	700	6600
96	707	6582
97	712	6562
98	718	6541
99	724	6517
100	728	6486
101	733	6460
102	738	6432
103	743	6406
104	748	6381
105	752	6350
106	758	6333
107	764	6311
108	770	6299
109	776	6285
110	782	6268
111	788	6249
112	794	6233
113	799	6217
114	805	6200
115	811	6185
116	818	6174
117	824	6162
118	830	6147
119	836	6134
120	840	6108
121	846	6091
122	851	6072
123	858	6063
124	867	6071
125	872	6049
126	877	6029
127	882	6010
128	886	5988
129	891	5964
130	896	5943
131	901	5927
132	907	5916
133	913	5905
134	923	5914
135	931	5915
136	939	5915
137	944	5901
138	950	5885
139	954	5866
140	959	5845
141	964	5825
142	969	5808
143	973	5788
144	978	5770
145	982	5748
146	987	5729
147	991	5708
148	996	5690
149	1000	5671
150	1004	5650
151	1009	5630
152	1013	5611
153	1018	5592
154	1022	5574
155	1029	5570
156	1039	5580
157	1047	5579
158	1052	5569
159	1058	5558
160	1064	5545
161	1068	5527
162	1073	5514
163	1079	5504
164	1084	5488
165	1089	5472
166	1094	5458
167	1099	5443
168	1104	5431
169	1110	5420
170	1115	5406
171	1120	5392
172	1124	5375
173	1128	5359
174	1135	5352
175	1141	5343
176	1147	5333
177	1153	5325
178	1158	5314
179	1164	5306
180	1170	5295
181	1175	5285
182	1181	5274
183	1187	5265
184	1193	5256
185	1200	5254
186	1205	5239
187	1210	5228
188	1215	5213
189	1220	5202
190	1225	5191
191	1230	5180
192	1236	5168
193	1240	5153
194	1245	5140
195	1252	5137
196	1259	5132
197	1265	5124
198	1271	5116
199	1277	5108
200	1282	5098
201	1288	5089
202	1293	5078
203	1298	5066
204	1304	5057
205	1309	5047
206	1316	5044
207	1321	5031
208	1327	5023
209	1332	5014
210	1338	5006
211	1343	4993
212	1349	4985
213	1355	4977
214	1361	4970
215	1367	4962
216	1374	4959
217	1380	4952
218	1386	4945
219	1394	4944
220	1399	4933
221	1406	4928
222	1413	4923
223	1417	4912
224	1422	4900
225	1430	4899
226	1438	4899
227	1444	4892
228	1450	4882
229	1456	4877
230	1462	4869
231	1468	4862
232	1474	4854
233	1479	4844
234	1485	4837
235	1491	4828
236	1497	4821
237	1504	4815
238	1509	4805
239	1513	4793
240	1519	4786
241	1524	4774
242	1528	4761
243	1533	4752
244	1542	4752
245	1548	4747
246	1554	4738
247	1558	4726
248	1563	4715
249	1567	4703
250	1572	4691
251	1577	4682
252	1583	4675
253	1589	4668
254	1594	4659
255	1601	4652
256	1607	4647
257	1612	4637
258	1617	4627
259	1623	4619
260	1628	4611
261	1634	4604
262	1640	4597
263	1646	4589
264	1652	4583
265	1657	4574
266	1661	4562
267	1667	4554
268	1672	4545
269	1678	4537
270	1684	4530
271	1689	4521
272	1693	4510
273	1698	4500
274	1704	4492
275	1709	4483
276	1714	4475
277	1720	4469
278	1725	4459
279	1731	4451
280	1737	4445
281	1742	4436
282	1748	4430
283	1753	4421
284	1758	4412
285	1764	4405
